ID,"Class"
1413,Comdet
1414,Comdet
1415,Comdet
1416,Comdet
1417,Comdet
1418,Comdet
1419,Comdet
1420,Comdet
1421,Comdet
1422,Comdet
1423,Comdet
1424,Comdet
1425,Comdet
1426,Comdet
1427,Comdet
1428,Comdet
1429,Comdet
1430,Comdet
1431,Comdet
1432,Comdet
1433,Comdet
1434,Comdet
1435,Comdet
1436,Comdet
1437,Comdet
1438,Comdet
1439,Comdet
1440,Comdet
1441,Comdet
1442,Comdet
1443,Comdet
1444,Comdet
1445,Comdet
1446,Comdet
1447,Comdet
1448,Comdet
1449,Comdet
1450,Comdet
1451,Comdet
1452,Comdet
1453,Comdet
1454,Comdet
1455,Comdet
1456,Comdet
1457,Comdet
1458,Comdet
1459,Comdet
1460,Comdet
1461,Comdet
1462,Comdet
1463,Comdet
1464,Comdet
1465,Comdet
1466,Comdet
1467,Comdet
1468,Comdet
1469,Comdet
1470,Comdet
1471,Comdet
1472,Comdet
1473,Comdet
1474,Comdet
1475,Comdet
1476,Comdet
1477,Comdet
1478,Comdet
1479,Comdet
1480,Comdet
1481,Comdet
1482,Comdet
1483,Comdet
1484,Comdet
1485,Comdet
1486,Comdet
1487,Comdet
1488,Comdet
1489,Comdet
1490,Comdet
1491,Comdet
1492,Comdet
1493,Comdet
1494,Comdet
1495,Comdet
1496,Comdet
1497,Comdet
1498,Comdet
1499,Comdet
